"actor","gender"
"Yūki Satō","male"
"Hiroyuki Satō","male"
"Yōichi Masukawa","male"
"Yōko Asagami","female"
"Ah Niu","male"
"ā Niú","male"
"阿牛","male"
"Akiko Kawase","female"
"Alan Ko","male"
"Kē Yǒulún","male"
"柯有倫","male"
"Alektra Blue","female"
"Allanah Starr","female"
"Angela Tong","female"
"湯盈盈","female"
"tang1 ying2 ying2","female"
"tong1 jing4 jing4","female"
"汤盈盈","female"
"Anneli Alhanko","female"
"Asami Kai","female"
"Aurélie Amblard","female"
"Ayano Murasaki","female"
"Bibi Zhou Bichang","female"
"Zhou Bichang","female"
"Chau1 Bat1 Cheung3","female"
"Zhōu Bǐchàng","female"
"周笔畅","female"
"周筆暢","female"
"Bowie Lam","male"
"林保怡","male"
"Lam4 Bou2 Ji4","male"
"Lín Bǎoyí","male"
"Bowie Tsang","female"
"Zēng Bǎoyí","female"
"曾宝仪","female"
"曾寶儀","female"
"Carly Hillman","female"
"Charmaine Li","female"
"Lei Si-jan","female"
"Li Sixin","female"
"李思欣","female"
"Chen Hanwei","male"
"Chen Han Wei","male"
"Chén Hàn Wěi","male"
"陈汉玮","male"
"陳漢瑋","male"
"Chris Steele","male"
"Dai Matsumoto","male"
"Daisy Marie","female"
"Daniella Rush","female"
"Devang Patel","male"
"Ellen Chan","female"
"Chén Yǎ Lún","female"
"陈雅伦","female"
"陳雅倫","female"
"Ewa Fröling","female"
"Fala Chen","female"
"陳法拉","female"
"Can3 Faat3 Laai1","female"
"Chén Fǎlā","female"
"陈法拉","female"
"Fillip Williams","male"
"Gia Darling","female"
"Gloria Yip","female"
"Gloria Yip Wan-Yee","female"
"葉蘊儀","female"
"Ye Yun-Yi","female"
"Yip Wan-Yee","female"
"Graham Pountney","male"
"Han Geng","male"
"Hán Gēng","male"
"Helen Kurup","female"
"Hyo-sei","female"
"Joanna Angel","female"
"Joe Cheng","male"
"Zhèng Yuánchàng","male"
"郑元畅","male"
"鄭元暢","male"
"Kanji Tsuda","male"
"Kaya Matsutani","female"
"Kayden Kross","female"
"Kelly Bell","female"
"Kelly Kay","female"
"Kelly Madison","female"
"Kevin Cheng","male"
"鄭嘉穎","male"
"Zeng6 Gaa1-wing6","male"
"Zhèng Jiāyǐng","male"
"郑嘉颖","male"
"Laura Angel","female"
"Leanne Li","female"
"李亞男","female"
"lei5 aa3 naam4","female"
"li3 ya4 nan2","female"
"李亚男","female"
"Li Qian","female"
"李倩","female"
"Lorissa McComas","female"
"Lorissa McComas-Taylor","female"
"Manuel Ferrara","male"
"Martina Warren","female"
"Megumi Okina","female"
"Mia Murano","female"
"Minoru Yada","male"
"Mitsuru Karahashi","male"
"Momoko Saitō","female"
"Monique Covét","female"
"Naoko Watanabe","female"
"Nicholas Teo","male"
"張棟樑","male"
"Zhāng Dòngliáng","male"
"zoeng1 dung3 loeng4","male"
"Noriko Rikimaru","female"
"Nozomi Takeuchi","female"
"Philippa Urquhart","female"
"Queenie Chu","female"
"朱慧敏","female"
"Ju1 Hwai6 man5","female"
"zhū huì mǐn","female"
"Ray Dragon","male"
"Rebecca Bardoux","female"
"Regina Russell Banali","female"
"Regina Russell","female"
"Rena Tanaka","female"
"Ryohei Odai","male"
"Sam Phillips","female"
"Sayaka Ando","female"
"Selena Li","female"
"Lei5 Si1 Wa6","female"
"Lǐ Shīhuà","female"
"Shinichi Tsutsumi","male"
"Sophia Santi","female"
"Sosuke Ikematsu","male"
"Sōsuke Ikematsu","male"
"Steven Ma","male"
"馬浚偉","male"
"Maa5 Zeon3 Wai5","male"
"Mǎ Jùnwěi","male"
"马浚伟","male"
"Takatoshi Kaneko","male"
"Taryn Thomas","female"
"Tzi Ma","male"
"Vahina Giocante","female"
"Valen Hsu","female"
"Xǔ Rúyún","female"
"Vidkid Timo","male"
"Yui Ichikawa","female"
"Yukiko Kashiwagi","female"
"Yuria Haga","female"
"Yōko Maki","female"
"Yūta Hiraoka","male"
"Antonia de Sancha","female"
"Henry Saari","male"
"Kōji Tsujitani","male"
"Samuel Kane","male"
"William Bell Wait","male"
"Doreen Mantle","female"
"Vincent Winter","male"
"Bridget Powers","female"
"Chen Daoming","male"
"陈道明","male"
"陳道明","male"
"Chén Dàomíng","male"
"Christiana Horton","female"
"Jeanna Fine","female"
"Kermit Love","male"
"Maggie Lau","female"
"Liú Sīhuì","female"
"lau4 si1 wai6","female"
"刘思惠","female"
"劉思惠","female"
"Ryan Idol","male"
"Shu Qi","female"
"Shū Qí","female"
"舒淇","female"
"Syu1 Kei4","female"
"Tiffany Million","female"
"Kim Kibum","male"
"Fred Goodwins","male"
"Hiroshi Okamoto","male"
"岡本 寛志","male"
"Makoto Furukawa","male"
"Mikoi Sasaki","female"
"Milo Parker","male"
"Reina Ueda","female"
"Rick Cassidy","male"
"Toshiki Masuda","male"
"Yūichirō Umehara","male"
"Yūki Tai","male"
"Rod Fontana","male"
"Eugene Simon","male"
"Jacqueline King","female"
"Abi Eniola","female"
"Anna Cropper","female"
"Barry MacKay","male"
"Bianca Bai","female"
"Bái Xīnhuì","female"
"白歆惠","female"
"Blake Riley","male"
"Brooke Skye","female"
"Cameron Butterwick","male"
"Carole Ashby","female"
"Chung King-fai","male"
"鍾景輝","male"
"King-fai Chung","male"
"zhong1 jing3 hui1","male"
"zung1 ging2 fai1","male"
"钟景辉","male"
"Dystin Johnson","female"
"Florence Kwok","female"
"郭少芸","female"
"Guō Shǎoyún","female"
"Gwok3 Siu2 Wan4","female"
"Fortesa Hoti","female"
"Freddy Dalton","male"
"Halvar Björk","male"
"Hugh Simon","male"
"Ingrid Oliver","female"
"Jacky Heung","male"
"向佐","male"
"Jason Hsu","male"
"Xǔ Mèngzhe","male"
"許孟哲","male"
"许孟哲","male"
"Jean Val Jean","male"
"Jolene Chin","female"
"Chén Yǐng Wén","female"
"陈影雯","female"
"陳影雯","female"
"Joseph Bennett","male"
"Joseph A. Bennett","male"
"Kohji Moritsugu","male"
"Lars Ekborg","male"
"Lloyd McGuire","male"
"Lu Yi-ching","female"
"Lu Yi-Ching","female"
"陆弈静","female"
"陸弈靜","female"
"Marco Banderas","male"
"Mary Forbes","female"
"Matt Chow","male"
"Jau1 Hoi2 Gwong1","male"
"Zōu1 Kǎi3 Guāng1","male"
"邹凯光","male"
"鄒凱光","male"
"Maurice Dorléac","male"
"Mikie Hara","female"
"Mohamed Said","male"
"Pat Keen","female"
"Paul Bazely","male"
"Paul Chesterton","male"
"Renji Ishibashi","male"
