"actor","gender"
"Rokhsaneh Ghawam-Shahidi","female"
"Roxy Shahidi","female"
"Ryan Driller","male"
"Anders Linder","male"
"Andy Lau","male"
"Liú Déhuá","male"
"Lau4 Dak1waa4","male"
"Annie Sprinkle","female"
"Arata Iura","male"
"Bai Ling","female"
"Bái Líng","female"
"白灵","female"
"白靈","female"
"Briana Banks","female"
"Christy Canyon","female"
"Danni Ashe","female"
"Georgina Spelvin","female"
"Gigi Leung","female"
"梁詠琪","female"
"Leong4 Wing6 Kei4","female"
"Liáng Yǒng Qí","female"
"梁咏琪","female"
"Gina Lynn","female"
"Hyapatia Lee","female"
"Jacky Cheung","male"
"Zhāng Xuéyǒu","male"
"Zoeng1 Hok6-jau5","male"
"Jay Chou","male"
"周杰伦","male"
"周杰倫","male"
"Zhōu Jiélún","male"
"Jerry Yan","male"
"言承旭","male"
"Yán Chéngxù","male"
"Jill Kelly","female"
"John Stagliano","male"
"Josie Ho","female"
"何超儀","female"
"Hé Chāoyí","female"
"何超仪","female"
"Ken Chu","male"
"Zhū Xiàotiān","male"
"朱孝天","male"
"Kobe Tai","female"
"Laure Sainclair","female"
"Lenny Henry","male"
"Sir Lenny Henry","male"
"(CBE)","male"
"Leon Lai","male"
"Lai4 ming4","male"
"Lí Míng","male"
"Mary Carey","female"
"Michael Hui","male"
"Heoi2 Gun3man4","male"
"Xǔ Guànwén","male"
"許冠文","male"
"许冠文","male"
"Nicholas Tse","male"
"謝霆鋒","male"
"Xiè Tíngfēng","male"
"ze6 ting4 fung1","male"
"Nina Hartley","female"
"Pamela Green","female"
"Racquel Darrian","female"
"Rocco Siffredi","male"
"Ryō","female"
"Seka","female"
"Silvia Saint","female"
"Steven St. Croix","male"
"Tera Patrick","female"
"Vanness Wu","male"
"Wú Jiànháo","male"
"吳建豪","male"
"吴建豪","male"
"Yuka Imai","female"
"Yuko Aoki","female"
"Yuri Shiratori","female"
"Yūsuke Iseya","male"
"(伊勢谷 友介)","male"
"Aaron Kwok","male"
"Guō Fùchéng","male"
"Gwok3 Fu3 Sing4","male"
"Daiki Nakamura","male"
"Dean Phoenix","male"
"Ed Powers","male"
"Hacken Lee","male"
"Lǐ Kèqín","male"
"lei5 hak1 kan4","male"
"Joana Prado","female"
"Feiticeira","female"
"Katsunosuke Hori","male"
"Kazue Ikura","female"
"Mayo Suzukaze","female"
"Miriam Yeung","female"
"楊千嬅","female"
"Miriam Yeung Chin-wah","female"
"杨千嬅","female"
"Nacho Vidal","male"
"Naomi Zaizen","female"
"Reika Hashimoto","female"
"Russell Wong","male"
"王盛德","male"
"Shigeru Nakahara","male"
"Shoko Aida","female"
"Aaron Lawrence","male"
"Adia Chan","female"
"Can4 Cung4 Ling4","female"
"Chén Sōnglíng","female"
"陈松伶","female"
"陳松伶","female"
"Akiko Matsumoto","female"
"Akira Sasanuma","male"
"Amanda Ooms","female"
"Andy Hui","male"
"許志安","male"
"Xǔ Zhì'ān","male"
"heoi2 zi3 on1","male"
"Anita Yuen","female"
"袁詠儀","female"
"Yuán Yǒngyí","female"
"jyun4 wing6 ji4","female"
"袁咏仪","female"
"Aurora Snow","female"
"Avy Scott","female"
"Ayumi Ito","female"
"Bobbi Eden","female"
"Brigitte Lahaie","female"
"Charlene Choi","female"
"Coi3 Coek3-jin4","female"
"Charmane Star","female"
"Chihiro Otsuka","female"
"Cindy Margolis","female"
"Clara Morgane","female"
"Cyndi Wang","female"
"Wáng Xīnlíng","female"
"Deep Ng","male"
"ng1 hou6 hong1","male"
"wu2 hao4 kang1","male"
"吳浩康","male"
"吴浩康","male"
"Domonique Simone","female"
"Donnie Yen","male"
"甄子丹","male"
"Jan1 Zi2 Daan1","male"
"Dyanna Lauren","female"
"Dyanne Thorne","female"
"Ekin Cheng","male"
"Zeng6 Ji1-gin6","male"
"Zhèng yījiàn","male"
"郑伊健","male"
"鄭伊健","male"
"Eric Tsang","male"
"曾志偉","male"
"曾志伟","male"
"Zang1 Zi3-wai5","male"
"Zēng Zhìwěi","male"
"Estelle Desanges","female"
"Felicia Chin","female"
"Chén Fènglíng","female"
"陈凤玲","female"
"Gillian Chung","female"
"Gillian Chung Yan-tung","female"
"Zung1 Jan1-tung4","female"
"鍾欣潼","female"
"Haruka Suenaga","female"
"Hikari Ishida","female"
"Hiroko Kasahara","female"
"Hiroya Ishimaru","male"
"Hitomi Kuroki","female"
"Janine Lindemulder","female"
"Jean-Daniel Cadinot","male"
"Jean Daniel Cadinot","male"
"Jeanette Aw","female"
"Au1 Hyun1","female"
"Ōu Xuān","female"
"欧萱","female"
"歐萱","female"
"Jeff Stryker","male"
"Jesse Jane","female"
"Jessica Drake","female"
"Jessica Jaymes","female"
"Joey Silvera","male"
"Jules Jordan","male"
"Julia Ann","female"
"Julie Strain","female"
"Karen Lancaume","female"
"Karen Mok","female"
"莫文蔚","female"
"Mok6 Man4-wai3","female"
"Mò Wénwèi","female"
"Katsuji Mori","male"
"Kayoko Kishimoto","female"
"Keiko Takahashi","female"
"Keiko Takeshita","female"
"Keisha","female"
"Kenix Kwok","female"
"Guō Kěyíng","female"
"Gwok3 Ho2 Jing4","female"
"郭可盈","female"
"Kenny Bee","male"
"Zhōng Zhèntāo","male"
"Zung1 Zan3tou4","male"
"鍾鎮濤","male"
"锺镇涛","male"
"Kit Chan","female"
"陈洁仪","female"
"Chén Jiéyí","female"
"can4 git3 ji4","female"
"陳潔儀","female"
"Kotaro Koizumi","male"
"Kristi Myst","female"
"Kumiko Akiyoshi","female"
"Kumiko Nakano","female"
"Kyla Cole","female"
"Kylie Ireland","female"
"Kyōko Aizome","female"
"Laura Bonarrigo","female"
"Laura Koffman","female"
"Lisa Sparxxx","female"
"Lisa Sparks","female"
"Liu Xiao Ling Tong","male"
"Lìu Xiǎo Líng Tóng","male"
"六小齡童","male"
"六小龄童","male"
"Liza Wang","female"
"汪明荃","female"
"Liza Wang Ming-chuen","female"
"wong1 ming4 cyun4","female"
"wāng míngquán","female"
"Lou Cass","male"
"Louis Koo","male"
"古天樂","male"
"Gu2 Tin1-lok6","male"
"Gǔ Tiānlè","male"
"古天乐","male"
"Maiko Itō","female"
"Maki Meguro","female"
"Mari Hoshino","female"
"Mary Millington","female"
"Mayumi Hidaka","female"
"Mayumi Wakamura","female"
"Michaela Schaffrath","female"
"Miki Mizuno","female"
"Miki Sawaguchi","female"
"Misako Konno","female"
"Mr. Marcus","male"
"Narimi Arimori","female"
"Natsuko Yamamoto","female"
"Nikita Denise","female"
"Nina Carter","female"
"Noriko Watanabe","female"
"Omali Yeshitela","male"
"Omi Minami","female"
"Ovidie","female"
"Patty Hou","female"
"Hóu Pèicén","female"
"侯佩岑","female"
"Race Wong","female"
"huang2 wan3 ling2","female"
"wong4 jyun2 ling4","female"
"黃婉伶","female"
"黄婉伶","female"
"Rainie Yang","female"
"楊丞琳","female"
"杨丞琳","female"
"Yáng Chénglín","female"
"Yèung Sìnglàm","female"
"Rakel Liekki","female"
"Rayveness","female"
"Rebecca Lord","female"
"Rio Natsume","female"
"Ruby Lin","female"
"Lín Xīnrú","female"
"Lam4 Sam1-jyu4","female"
"Ruby Lin Xinru","female"
"Sally Knyvette","female"
"Sally Yoshino","female"
"Samuel Hui","male"
"Heoi2 Gun3git6","male"
"Xǔ Guànjié","male"
"許冠傑","male"
"许冠杰","male"
"Sawa Ishige","female"
"Seika Kuze","female"
"Shannon Lee","female"
"Lei5 Heong1 Jing4","female"
"Lǐ Xiāngníng","female"
"李香凝","female"
"Shiho Fujimura","female"
"Sola Aoi","female"
"Stacy Burke","female"
"Stacy Valentine","female"
"Steve Railsback","male"
"Sunrise Adams","female"
"Sunset Thomas","female"
"Suzana Alves","female"
"T. T. Boy","male"
"Tae Hitoto","female"
"Tae Kimura","female"
"Tawny Roberts","female"
"Tetsuya Iwanaga","male"
"Tomoka Kurotani","female"
"Toni Ribas","male"
"Vince Vouyer","male"
"Vivian Hsu","female"
"Wakin Chau","male"
"周華健","male"
"Zau1 Wa4 Gin6","male"
"Zhōu Huájiàn","male"
"周华健","male"
"Johan Paulik","male"
"Michelle Yeoh","female"
"Yáng Zǐqióng","female"
"杨紫琼","female"
"楊紫瓊","female"
"Joeng4 Zi2-king4","female"
"Yoko Matsugane","female"
"Yoko Moriguchi","female"
"Yoshiko Tanaka","female"
"Yukimasa Kishino","male"
"Yumi Adachi","female"
"Yumiko Fujita","female"
"Yuriko Ishida","female"
"Zdeňka Podkapová","female"
"Zdenka Podkapová","female"
"Zhao Wei","female"
"Zhào Wēi","female"
"Ziu6 Mei4","female"
"Jackie Chan","male"
"SBSMBEDatuk","male"
"Maggie Cheung","female"
"Zhāng Mànyù","female"
"Zoeng1 Maan6 Juk6","female"
"張曼玉","female"
"Zhang Yimou","male"
"张艺谋","male"
"Chasey Lain","female"
"Gloria Leonard","female"
"Maria Antonietta Beluzzi","female"
"Annette Haven","female"
"Devon","female"
"Dina Jewel","female"
"Nanna Grønnevik","female"
"Faye Wong","female"
"Wong4 Fei1","female"
"Wáng Fēi","female"
"Hilton Edwards","male"
"Mina Anwar","female"
"Veronica Hart","female"
"Amarna Miller","female"
"Ayaka Fukuhara","female"
"Carat Cheung","female"
"Zhāng Míng Yǎ","female"
"Zoeng1 Meng4 Aa1","female"
"张名雅","female"
"張名雅","female"
"Chang Tsai-Hsing","male"
"Zhang Zai Xing","male"
"Daniel Smales","male"
"Himika Akaneya","female"
"Kiki Sukezane","female"
"Kiyono Yasuno","female"
"Masumi Tazawa","female"
"May Chan","female"
"Can4 Gaa1 Gaai1","female"
"Chén Jiā Jiā","female"
"陈嘉佳","female"
"陳嘉佳","female"
"Mikako Izawa","female"
"Nozomi Furuki","female"
"Ram Chiang","male"
"Jiǎng Zhì Guāng","male"
"Zoeng2 Zi3 Gwong1","male"
"蒋志光","male"
"蔣志光","male"
"Rina Endō","female"
"Ryo Matsuda","male"
"Ryō Matsuda","male"
"Sachi Kokuryu","female"
"Sayaka Senbongi","female"
"Seiichirō Yamashita","male"
"Seraph Sun","female"
"Sūn Xīnpèi","female"
"孙欣佩","female"
"Shyla Stylez","female"
"Vanessa Yeung","female"
"楊崢","female"
"Yujiro Shirakawa","male"
"Yūjirō Shirakawa","male"
"Yū Serizawa","female"
"Zhang Huiwen","female"
"Zhāng Huìwén","female"
"Zhou Chuchu","female"
"Zhōu Chǔchǔ","female"
"zau1 co2 co2","female"
"Agnès Spaak","female"
"Aina Suzuki","female"
"Akihisa Shiono","male"
"Asuka Nishi","female"
"Atsushi Maruyama","male"
"Ava Addams","female"
"Ayumi Tokitō","female"
"Azusa Watanabe","female"
"Casey Calvert","female"
"Chieko Matsubara","female"
"Chitose Morinaga","female"
"Chris Wu","male"
"Kang Ren Wu","male"
"Wú Kāngrén","male"
"吳慷仁","male"
"Colby Keller","male"
"Fei Qinyuan","female"
"Fèi Qìnyuán","female"
"費沁源","female"
"费沁源","female"
"Feng Jianyu","male"
"Féng Jiànyǔ","male"
"冯建宇","male"
"Hairi Katagiri","female"
"Hana Sugisaki","female"
"Haruka Shiraishi","female"
"Hideya Tawada","male"
"Hitomi Ōwada","female"
"Hong Peiyun","female"
"Hóng Pèiyún","female"
"洪珮雲","female"
"Huang Tingting","female"
"Huáng Tíngtíng","female"
"黃婷婷","female"
"黄婷婷","female"
"Ihsan Daadouch","male"
"Jeremy Chan","male"
"Tián Míngyào","male"
"田銘耀","male"
"田铭耀","male"
"Jessie Chung","female"
"鍾潔希","female"
"Johnny Sins","male"
"Ju Jingyi","female"
"Jū Jìngyī","female"
"鞠婧祎","female"
"鞠婧禕","female"
"Juri Kimura","female"
"Kensuke Takahashi","male"
"Kento Nagayama","male"
"Kōtarō Nishiyama","male"
"Law Lok-lam","male"
"Lo4 Lok6 Lam4","male"
"Luō Lè Lín","male"
"罗乐林","male"
"羅樂林","male"
"Li Yitong","female"
"Lǐ Yìtóng","female"
"李艺彤","female"
"李藝彤","female"
"Liam Riley","male"
"Lola Le Lann","female"
"Lorene Ren","female"
"Kirsten Ren","female"
"Rèn Róngxuān","female"
"任容萱","female"
"Louise Peterhoff","female"
"Louise Elisabeth Peterhoff","female"
"Machico","female"
"Mandy Wei","female"
"Wèi Màn","female"
"魏蔓","female"
"Maria Naganawa","female"
"Masao Kusakari","male"
"Megumi Toda","female"
"Michael Stevenson","male"
"Michiyo Murase","female"
"Miki Yanagi","female"
"Mitsuki Oishi","female"
"Mitsuki Ōishi","female"
"Mitsuko Kusabue","female"
"Monica Roccaforte","female"
"Moon Lau","female"
"Lau4 Pui3 Jyut6","female"
"Liú Pèi Yuè","female"
"刘佩玥","female"
"劉佩玥","female"
"Nick Teo","male"
"Zhāng Jūnyù","male"
"张鈞淯","male"
"Nylon Chen","male"
"Chén Nǎiróng","male"
"陳乃榮","male"
"Riho Takada","female"
"Rika Kinugawa","female"
"Rikako Yamaguchi","female"
"Shane Diesel","male"
"Shin Nagahama","male"
"Shizuka Ishigami","female"
"Shun Shioya","male"
"Shunsuke Shima","male"
"Tomomi Isomura","female"
"Tsunehiko Kamijō","male"
"Wang Qing","male"
"Wang Qing (Singer/Actor)","male"
"Wáng Qīng","male"
"王青","male"
"Xavier Ong","male"
"Wáng ShèngYŭ","male"
"王勝宇","male"
"王胜宇","male"
"Xu Jiaqi","female"
"Xǔ Jiāqí","female"
"許佳琪","female"
"许佳琪","female"
"Yasuaki Takumi","male"
"Yasuo Daichi","male"
"Yumiri Hanamori","female"
"Yūsuke Shirai","male"
"Zeng Yanfen","female"
"Zéng Yànfēn","female"
"曾艳芬","female"
"曾艷芬","female"
"Zhang Yuge","female"
"Zhāng Yǔgé","female"
"张语格","female"
"張語格","female"
"Zhao Jiamin","female"
"Zhào Jiāmǐn","female"
"赵嘉敏","female"
"趙嘉敏","female"
"Zhao Yue","female"
"Zhào Yuē","female"
"赵粤","female"
"趙粵","female"
"Zoie Tam","female"
"Taam4 Hoi2 Kei4","female"
"Tán Kǎi Qí","female"
"譚凱琪","female"
"谭凯琪","female"
"Allan Bohlin","male"
"Andrew Yuen","male"
"Andrew Yuen Man-kit","male"
"袁文傑","male"
"袁文杰","male"
"Angela Browne","female"
"Anna Konstam","female"
"Anna Åström","female"
"April O'Neil","female"
"April O’Neil","female"
"Aya Suzaki","female"
"Ben Webster","male"
"Chin Han","male"
"Jīn Hàn","male"
"Qín Hàn","male"
"Chloe Howman","female"
"Dallas Anderson","female"
"Edwin Brown","male"
"Frances White","female"
"Gary Powell","male"
"Grégory Fitoussi","male"
"Guo Liang","male"
"Guō Liàng","male"
"郭亮","male"
"Henri Attal","male"
"Ikumi Hayama","female"
"Jack Hobbs","male"
"Jerrold Robertshaw","male"
"Jin Katagiri","male"
"John Baskcomb","male"
"John Oxley","male"
"Julien Rassam","male"
"Juri Nagatsuma","female"
"Katharine Barker","female"
"Lee Turnbull","male"
"Leo Hallerstam","male"
"Luhan","male"
"Lu Han","male"
"Lù Hán","male"
"鹿晗","male"
"Mark Kwok","male"
"Guó Yiǎo Míng","male"
"Gwok3 Yiu6 Ming4","male"
"郭耀明","male"
"Mark Wakeling","male"
"Martin Walker","male"
"Masami Hisamoto","female"
"Matthew Kane","male"
"May Hallatt","female"
"Michelle Ferre","female"
"Morton Selten","male"
"Muriel Aked","female"
"Måns Herngren","male"
"Neville Smith","male"
"Ng Chin Han","male"
"Huáng Jīnghàn","male"
"Nils Hallberg","male"
"Nina Zanjani","female"
"Olisa Odele","male"
"Osamu Hosoi","male"
"Peter Schildt","male"
"Rhydian Vaughan","male"
"Rob Heyland","male"
"Robert Vahey","male"
"Sara Bernat","female"
"Sei Hiraizumi","male"
"Shigeru Mogi","male"
"Shizuma Hodoshima","male"
"Stephen Humby","male"
"Susan Shaw","female"
"Takahiro Yoshimizu","male"
"吉水 孝宏","male"
"Takeshi Katō","male"
"Ted Åström","male"
"Tracy Lee","female"
"Lǐ Měi Líng","female"
"Tōru Furusawa","male"
"Toru Furusawa","male"
"Valentina Nappi","female"
"Wang Yumei","female"
"Wáng Yù Méi","female"
"王玉梅","female"
"Yoshimitsu Shimoyama","male"
"Yurika Ochiai","female"
"Yuko Kobayashi","female"
"Dennis King","male"
"Mor Katzir","female"
"Märta Torén","female"
"Sarah Quintrell","female"
"Akemi Satō","female"
"Allysin Chaynes","female"
"Amelia Shankley","female"
"Andrew Seow","male"
"Xiāo Yǐmíng","male"
"肖乙铭","male"
"蕭乙銘","male"
"Angel Kelly","female"
"Angelica Lee","female"
"Lǐ Xīnjié","female"
"李心洁","female"
"李心潔","female"
"Angus MacKay","male"
"Axel Braun","male"
"Carlo Gabriel Nero","male"
"Carmen Luvana","female"
"Charlotte Lucas","female"
"Chris Larkin","male"
"Chris Perry-Metcalf","male"
"Claude Louis Séraphin Barizain","male"
"Clifford Rose","male"
"Dan Ekborg","male"
"Daniel Emilfork","male"
"Deric Wan","male"
"wan1 siu6 leon4","male"
"wēn zhào lún","male"
"温兆伦","male"
"溫兆倫","male"
"Erica Carlson","female"
"Félicité Du Jeu","female"
"Hans Mosesson","male"
"Harvey Spencer Stephens","male"
"Helge Skoog","male"
"Hélène Chatelain","female"
"Ivy Lee","female"
"李錦梅","female"
"Lǐ Jǐnméi","female"
"李锦梅","female"
"Jenny Platt","female"
"Jenny Tseng","female"
"Zhēn Nī","female"
"jan1 nei4","female"
"甄妮","female"
"Jimmy Lin","male"
"林志穎","male"
"Lam4 Zi3-wing6","male"
"Lín Zhìyǐng","male"
"林志颖","male"
"Joey Leung","male"
"梁榮忠","male"
"梁荣忠","male"
"Johnny Sekka","male"
"Joseph Kpobie","male"
"Karen Dior","transgender female"
"Kate Colgrave Pope","female"
"Kim Chambers","female"
"Lisa Lindgren","female"
"Lo Lieh","male"
"Lo4 Lit6","male"
"Luó Liè","male"
"Mary Woodvine","female"
"Matt Gunther","male"
"Med Reventberg","female"
"Michael Lonsdale","male"
"Michael Segerström","male"
"Miki Yeung","female"
"楊愛瑾","female"
"joeng4 ngoi3 gan2","female"
"yang2 ai4 jin3","female"
"杨爱瑾","female"
"Naeem Bokhari","male"
"Nikki Anderson","female"
"Nikky Blond","female"
"Ning Jing","female"
"Níng Jìng","female"
"宁静","female"
"寧靜","female"
"Penelope Dudley-Ward","female"
"Per-Axel Arosenius","male"
"Ravi Kapoor","male"
"Reine Brynolfsson","male"
"Rosalind Ayres","female"
"Rosalind Ivan","female"
"Sally Rogers","female"
"Simon Edward Stokes","male"
"Sonja Lund","female"
"Sophie Howard","female"
"Stephy Tang","female"
"鄧麗欣","female"
"Dang6 Lai6-jan1","female"
"Dèng Lìxīn","female"
"邓丽欣","female"
"Susan Stephen","female"
"Suzanne Desprès","female"
"Tania Mallet","female"
"Tania Russof","female"
"Tavia Yeung","female"
"楊怡","female"
"Joeng4 Ji4","female"
"Yáng Yí","female"
"杨怡","female"
"West Digges","male"
"Yvonne Schaloske","female"
"Aden Gillett","male"
"Alice Patten","female"
"Belita","female"
"Beryl de Zoete","female"
"Bobby Au-yeung","male"
"歐陽震華","male"
"Au1 Joeng4 Zan3 Waa4","male"
"Ōuyáng Zhènhuá","male"
"欧阳震华","male"
"Brad Patton","male"
"Brandy Alexandre","female"
"Carman Lee","female"
"李若彤","female"
"Lei5 Jeuk6 Tung4","female"
"Lǐ Ruòtóng","female"
"Chew Chor Meng","male"
"Zhōu Chūmíng","male"
"周初明","male"
"Colton Ford","male"
"David Brett","male"
"David Dencik","male"
"Diana Pang","female"
"Paang4 Daan1","female"
"Péng Dān","female"
"彭丹","female"
"Eiji Maruyama","male"
"Eiji Okada","male"
"Eva Henger","female"
"Feng Gong","male"
"Féng Gǒng","male"
"冯巩","male"
"馮鞏","male"
"Fiona Sit","female"
"sit3 hoi2 kei4","female"
"xue1 kai3 qi2","female"
"薛凯琪","female"
"薛凱琪","female"
"Ivy Ling Po","female"
"Ling4 Bo1","female"
"Líng Bō","female"
"Jan Lamb","male"
"林海峰","male"
"Lín Hăifēng","male"
"lam4 hoi2 fung1","male"
"John Steiner","male"
"Kaho Minami","female"
"Kathy Lloyd","female"
"Katie Downes","female"
"Katie Cook","female"
"Kenji Wu","male"
"Wú Kèqún","male"
"吳克群","male"
"吴克群","male"
"Kyle Bradford","male"
"Kyōka Suzuki","female"
"Li Xiaolu","female"
"Lǐ Xiǎolù","female"
"李小璐","female"
"Li Xuejian","male"
"Lí Xuějiàn","male"
"李雪健","male"
"Lo Wei","male"
"罗維","male"
"羅維","male"
"Lynne Miller","female"
"Madeleine Milhaud","female"
"Marcel Bozzuffi","male"
"Marika Green","female"
"Martin Rich","male"
"Michael Wildman","male"
"Michel Constantin","male"
"Ng Man-tat","male"
"Ng Man Tat","male"
"Ng4 Maang6-daat6","male"
"Wú Mèngdá","male"
"Nora Miao","female"
"Miu4 Ho2 Sau3","female"
"Miáo Kěxiù","female"
"苗可秀","female"
"Peter Dalle","male"
"Piers Flint-Shipman","male"
"Qi Yuwu","male"
"Qī Yùwǔ","male"
"戚玉武","male"
"Raffaëla Anderson","female"
"Randy Spears","male"
"Ray Lui","male"
"Leoi5 Loeng4-wai5","male"
"Lǚ Liángwěi","male"
"吕良伟","male"
"呂良偉","male"
"Rene Bond","female"
"Rupert Farley","male"
"Sam Bernard","male"
"Selena Steele","female"
"Sharon Au","female"
"Ōu Jīngxiān","female"
"欧菁仙","female"
"Shiho Kikuchi","female"
"Simon Nash","male"
"Steve Holmes","male"
"Su Elliot","female"
"Su Elliott","female"
"Tanya Hansen","female"
"Toshie Negishi","female"
"Xiang Yun","female"
"Wade-Giles: Hsiang4 Yün2","female"
"Xiàng Yún","female"
"向云","female"
"向雲","female"
"Yvonne Yung","female"
"Wēng Hóng","female"
"Yung1 Hung4","female"
"翁虹","female"
"Yūji Machi","male"
"真地 勇志","male"
"Adam Chen","male"
"詹金泉","male"
"Zhān Jīnquán","male"
"Sammy Leung","male"
"森美","male"
"sam1 mei5","male"
"sen1 mei3","male"
"Akiko Kobayashi","female"
"Andrea Green","female"
"Andrew Pleavin","male"
"Anna Savva","female"
"Annie Lambert","female"
"Ayaka Hibiki","female"
"Barry Lubin","male"
"Bobby Blake","male"
"Brigitte Kahn","female"
"Carl Forgione","male"
"Celia Gregory","female"
"Charles Dullin","male"
"Charlie Kemp","male"
"Chen Xiuhuan","female"
"Chén Xiùhuán","female"
"陈秀环","female"
"陳秀環","female"
"Coral Atkins","female"
"Darry Cowl","male"
"Debby Bishop","female"
"Dion Lam","female"
"林迪安","female"
"Don Starr","male"
"Eleanor Matsuura","female"
"Fleur Bennett","female"
"Flora Chan","female"
"陳慧珊","female"
"can4 wai3 saan1","female"
"chen2 hui4 shan1","female"
"陈慧珊","female"
"Francine Brody","female"
"Frank Towers","male"
"Geoffrey Davion","male"
"Harriet Philpin","female"
"Holly Sampson","female"
"Ittoku Kishibe","male"
"Jane Slaughter","female"
"Janet Lees Price","female"
"Jean-Pierre Kalfon","male"
"Jeanette Sterke","female"
"Jenny Tomasin","female"
"Jeremy Wilkin","male"
"Joanna Hole","female"
"Joanne Heywood","female"
"Jonathan Newth","male"
"Joshua Ang","male"
"Hóng Cìjiàn","male"
"hong2 ci4 kin4","male"
"洪賜健","male"
"洪赐健","male"
"Junko Hagimori","female"
"Katy Murphy","female"
"Kirsten Cooke","female"
"Kitty Clive","female"
"Kumiko Takizawa","female"
"Kwan Tak-hing","male"
"Guān Déxīng","male"
"Gwaan1 Dak1 Hing1","male"
"关德兴","male"
"關德興","male"
"Kyle Stone","male"
"Kyousei Tsukui","male"
"Kyōsei Tsukui","male"
"Lilian Braithwaite","female"
"Lisa Lu","female"
"Lou4 Jin3","female"
"Lú Yàn","female"
"卢燕","female"
"盧燕","female"
"Lou Gish","female"
"Lou Gish (Louise Mikel Henrietta Marie Curram)","female"
"Mai Lin","female"
"Mami Kosuge","female"
"Mami Yamasaki","female"
"Mandy Chiang","female"
"jiang3 ya3 wen2","female"
"zoeng2 ngaa5 man4","female"
"蒋雅文","female"
"蔣雅文","female"
"Margo Gunn","female"
"Marianne Denicourt","female"
"Mariko Suzuki","female"
"Miho Yamada","female"
"Miles Fothergill","male"
"Muriel Frances Dana","female"
"Nami Miyahara","female"
"Nanae Katō","female"
"Naoki Yanagi","male"
"Nigel Humphreys","male"
"Nina Fry","female"
"Olivia Saint","female"
"Primi Townsend","female"
"Rebecca Chan","female"
"Chan3 Sau4 Chu1","female"
"Chén Xìu Zhū","female"
"陈秀珠","female"
"陳秀珠","female"
"Richard Heffer","male"
"Risa Honma","female"
"Rob Parry","male"
"Rosemary Martin","female"
"Rui En","female"
"瑞恩","female"
"Ruì'en","female"
"Sakura Sena","female"
"Sam Costa","male"
"Samantha Fox","female"
"Sandra Ng","female"
"ng4 gwan1 jyu4","female"
"wu2 jun1 ru2","female"
"吳君如","female"
"吴君如","female"
"Sara Nakayama","female"
"Sayuri Yamauchi","female"
"Shaun Curry","male"
"Shiho Kawaragi","female"
"Sian Webber","female"
"Simon Dutton","male"
"Song Dandan","female"
"宋丹丹","female"
"Stephen Fung","male"
"冯德伦","male"
"馮德倫","male"
"Stephen Tate","male"
"Steve Shaw","male"
"Sue Hodge","female"
"Thom Barron","male"
"Tolga Safer","male"
"Tom Fuccello","male"
"Tom Kelly","male"
"Tomoe Hanba","female"
"Ty Lattimore","male"
"Yōko Asada","female"
"Yūki Masuda","male"
"Billy Hartman","male"
"Cleveland Campbell","male"
"Graeme Hawley","male"
"Megan Pearson","female"
"Sonya Fitzpatrick","female"
"Steve Halliwell","male"
"Xu Jinglei","female"
"Ceoi4 Zing6-leoi4","female"
"Xú Jìnglěi","female"
"徐静蕾","female"
"徐靜蕾","female"
"Ado Endoh","female"
"Anna Palk","female"
"Asuka Yūki","female"
"Billy Herrington","male"
"Buddug Williams","female"
"Ciara Janson","female"
"Darby Lloyd Rains","female"
"Don Knight","male"
"Emily Fitzroy","female"
"Filip Berg","male"
"Fred Yule","male"
"Hu Jun","male"
"Hú Jūn","male"
"Wu4 Gwan1","male"
"Ian Kelsey","male"
"James Blight","male"
"Jennifer Welles","female"
"Jenny Hutchinson","female"
"Jessie St. James","female"
"Juliet Cariaga","female"
"Karen Meagher","female"
"Kate McGregor","female"
"Kenichi Ono","male"
"Kerrie Taylor","female"
"Kerstin Tidelius","female"
"Kesarin Chaichalermpol","female"
"Chanapa Natt","female"
"Kyōko Tongū","female"
"Mai Goto","female"
"Mai Gotō","female"
"Mai Haruna","female"
"Mako","female"
"Marlaine Gordon","female"
"Megan Zheng","female"
"郑智允","female"
"Michelle Ye","female"
"Jip6 Xun4","female"
"Yè Xuán","female"
"叶璇","female"
"葉璇","female"
"Natalis Chan","male"
"can4 baak3 coeng4","male"
"chén bái xiáng","male"
"陈百祥","male"
"陳百祥","male"
"Nicholas Audsley","male"
"Patricia Gibson-Howell","female"
"Philip Franks","male"
"Sharon Luk","female"
"lu4 shi1 yun4","female"
"luk6 si1 wan6","female"
"陆诗韵","female"
"陸詩韻","female"
"Stacy Jefferson","female"
"Sukie Smith","female"
"Susan Skipper","female"
"Tatum Reed","female"
"Terry Kiely","male"
"Tim Dang","male"
"Timothy Dang","male"
"Tim Dutton","male"
"William Gaminara","male"
"Wilson Yip","male"
"Yé Wěixìn","male"
"jip6 wai2 seon3","male"
"叶伟信","male"
"葉偉信","male"
"Winston Chao","male"
"Zhào Wénxuān","male"
"Ziu6 Man4-syun1","male"
"赵文瑄","male"
"趙文瑄","male"
"Yorke Sherwood","male"
"Yua Aida","female"
"Zhu Xu","male"
"朱旭","male"
"Becky Lee","female"
"Lei5 Bik3 Kei4","female"
"Lǐ Bìqí","female"
"李璧琦","female"
"Frances Lima","female"
"Ajay Chabra","male"
"Alex Mackenzie","male"
"Alex Sanders","male"
"Anri Shiono","female"
"Bernard Tiphaine","male"
