"Toshi Hiruma"
"Joseph Pevney"
"Paul Wendkos"
"Sidney Lanfield"
"Stefan Aust"
"Bob Rafelson"
"Bruno Mattei"
"Claudio Fragasso"
"Hany Abu-Assad"
"John Brahm"
"Kenneth Bi"
"Robert Schwentke"
"Rudolph Maté"
"Damian Lee"
"Frank Powell"
"Howard Franklin"
"Miguel Littín"
"Steve Box"
"Syed Noor"
"Joseph L. Scanlan"
"Tim Cox"
"Arnaud Desplechin"
"Bhandit Rittakol"
"James Glickenhaus"
"Jean Grémillon"
"Jean Yarbrough"
"John Paddy Carstairs"
"Jules White"
"Marcel L'Herbier"
"Richard LaGravenese"
"Wash West"
"Wash Westmoreland"
"Arthur Lubin"
"Lou Ye"
"Lóu Yè"
"娄烨"
"婁燁"
"Oscar Williams"
"Greg McLean"
"André Ernotte"
"Anne Émond"
"Bob Brooks"
"Hartney Arthur"
"J. E. Mathews"
"Nick Hamm"
"S. Narayan"
"Manuel Mur Oti"
"Mohammad Ali Bashe Ahangar"
"Oles Sanin"
"Ciaran Foy"
"Dean Israelite"
"Fiona Samuel"
"George Nicholls, Jr."
"Midi Z"
"Chao Te-Yin"
"Melvin Frank"
"Russ Meyer"
"Andrei Konchalovsky"
"John Cromwell"
"Justine Shapiro"
"Jørgen Leth"
"Masayuki Ochiai"
"Rick Rosenthal"
"William Cameron Menzies"
"Bernard L. Kowalski"
"Jack Smight"
"Walter R. Booth"
"Clive Donner"
"Feliks Falk"
"Frank Cappello"
"Jack Couffer"
"St. Clair Bourne"
"St. Clair C. Bourne"
"Soubin Shahir"
"Ashvin Kumar"
"Kristian Levring"
"Peter Wintonick"
"Roger Allers"
"George Ridgwell"
"Gian Luigi Polidoro"
"Jerry Hopper"
"Geoffrey Barkas"
"Stephen Campanelli"
"Abe Levitow"
"Rob Hardy"
"Anders Morgenthaler"
"Bob Giraldi"
"Carma Hinton"
"韩倞"
"Lakis Lazopoulos"
"V. Ravichandran"
"V Ravichandaran"
"Mani Ratnam"
"Nora Ephron"
"António-Pedro Vasconcelos"
"Carlos Schlieper"
"Colin Low"
"Edward Zwick"
"Hugo Claus"
"James Marsh"
"John M. Stahl"
"Matt Walsh"
"Michele Soavi"
"Peter Sykes"
"Rod Lurie"
"Roger Spottiswoode"
"Yves Ciampi"
"Andrzej Bartkowiak"
"Chang Cheh"
"张彻"
"張徹"
"Dardenne brothers"
"George Fitzmaurice"
"Jeb Stuart"
"John Crowley"
"Thomas Jahn"
"Irvin Willat"
"Richard Brooks"
"Cary Fukunaga"
"Larry Semon"
"Luis Trenker"
"Sam Miller"
"Andrew Lau"
"António Reis"
"Don Sharp"
"F. R. Crawley"
"Frank Radford Crawley"
"Freddie Francis"
"Matthew Warchus"
"Norman Taurog"
"Steven E. de Souza"
"William A. Wellman"
"William Wellman"
"Arthur Ripley"
"Bernard Vorhaus"
"Brian Robbins"
"George William Hill"
"George W. Hill"
"Ignacio F. Iquino"
"Joe Carnahan"
"Michael Patrick King"
"Paul Rotha"
"Robert Wiene"
"Rolf Kauka"
"Steve Barron"
"Steven Barron"
"Tony Gilroy"
"Osamu Kaneda"
"Anthony Hemingway"
"Charlie Nguyen"
"David Riker"
"Joel Lamangan"
"Lamont Johnson"
"Marcus Dunstan"
"Otis Turner"
"Tony Ianzelo"
"William C. McGann"
"Fritz Peter Buch"
"Russell Mulcahy"
"Victor Tourjansky"
"(Вячеслав Туржанский)"
"Morgan O'Neill"
"Stephen Belber"
"Banmei Takahashi"
"Eric Bross"
"Steve Rash"
"Claire Burger"
"Marie Amachoukeli"
"Samuel Theis"
"Sophie Barthes"
"Israel Horovitz"
"Haile Gerima"
"Atıf Yılmaz"
"F. Richard Jones"
"Gérard Blain"
"J. Lee Thompson"
"Kiyoshi Kurosawa"
"Bert I. Gordon"
"Noboru Ishiguro"
"石黒昇"
"Eric Khoo"
"Fernando Solanas"
"Robert Reinert"
"Kirby Dick"
"L. V. Prasad"
"Larry Cohen"
"Alessandro D'Alatri"
"Martin Weisz"
"Willie Christie"
"Carl Macek"
"Francesco Maselli"
"Fred Haines"
"István Szabó"
"Joseph L. Mankiewicz"
"Johannes Schaaf"
"János Szász"
"Michael Gottlieb"
"Paul Cox"
"Thomas Bentley"
"Guy Hamilton"
"William Beaudine"
"Denis Sanders"
"Egon Günther"
"Max Obal"
"Adrián Caetano"
"James Fargo"
"Jeremy Summers"
"Pascal Kané"
"Peter H. Hunt"
"Dan Ireland"
"Edwin L. Marin"
"Lloyd Ingraham"
"Robert Harmon"
"Bert Glennon"
"Lance Nielsen"
"Rakhshan Bani-E'temad"
"Rakhshān Bani E'temād"
"Susanna White"
"Mario Zampi"
"Julien Bryan"
"Assaf Bernstein"
"Bruce Sinofsky"
"Jyothi Krishna"
