"writer"
"J. M. Coetzee"
"Jaime Clarke"
"James Bratt"
"James Browne"
"James Carroll"
"James Francis Courage"
"James Fox"
"James Green"
"Jim Green"
"James Ohio Pattie"
"James R. Benn"
"James Robert Baker"
"James Stevens"
"James Welch"
"Jamie O'Neill"
"Jan Kott"
"Jean d'Ormesson"
"Jeanette Wohl"
"Jeff Chiba Stearns"
"Jennifer Roberson"
"Jerry Ellis"
"Jill Marie Landis"
"Joan Silber"
"Joan van Nuys"
"Joe Connelly"
"Johann Georg Fischer"
"Johann Georg Jacobi"
"Johannes Berendt"
"Johannes Mario Simmel"
"John Barresi"
"John Berryman"
"John Bower Mowat"
"John Bower Mowat,M.A.,D.D."
"John Briggs"
"John Colville"
"John Dryden"
"John Duffy"
"John Freeth"
"John Gunn"
"John Herbert"
"John Hill"
"John Joseph Kneen"
"John Kneen"
"John MacGregor"
"John Marsden"
"John Mattson"
"John McDonald Mowat"
"John O'Hanlon"
"John Okada"
"John Prendergast"
"John Stewart of Baldynneis"
"John Townsend"
"Jonathan E. Spilman"
"Jonathan Edwards Spilman"
"Jonathan Krohn"
"Jonathan Morris"
"Jonathan Wilson-Hartgrove"
"Jonathon W. G. Wills"
"Joseph Marius Babo"
"Joseph McCabe"
"Josephine Kermode"
"Josh Greenfeld"
"José Eustasio Rivera"
"José Eustasio Rivera Salas"
"José Rivera"
"Juan Díaz"
"Jules Renard"
"Pierre-Jules Renard"
"Julius Eduard Hitzig"
"June Ellis Knox-Mawer"
"June Knox-Mawer"
"Jurek Becker"
"Karen Young"
"Karl Philipp Moritz"
"Katharine Lee Bates"
"Kathleen Flinn"
"Keith W. Nolan"
"Kevin Bailey"
"Kevin Brooks"
"Kevin C. Fitzpatrick"
"Kevin Fitzpatrick"
"Kevin Cowherd"
"Khawaja Reazuddin Atash"
"Khawaja Reazuddin 'Atash'"
"Kiran Desai"
"Kirmen Uribe"
"Koji Suzuki"
"Kōji Suzuki"
"Krissy Kneen"
"Kunal Basu"
"Kyoichi Katayama"
"Lady Kasa"
"Larry L. Richman"
"Larry Smith"
"Leah Bodine Drake"
"Leila J. Rupp"
"Leon Uris"
"Linda Yellin"
"Lorna Crozier"
"Lorna Goodison"
"Lorna Hill"
"Louis Gompertz"
"Louis O. Coxe"
"Louis Osborne Coxe"
"Louis de Wohl"
"Louise Nalbandian"
"Lucinda Coxon"
"Lyubov Sirota"
"László Nagy"
"M. R. Sellars"
"Maggie O'Sullivan"
"Manju Kapur"
"Margaret Gibson"
"Mark Curtis"
"Mark Jacobs"
"Mark Lewis"
"Mark W. Lewis"
"Mark Poirier"
"Martin Quigley, Jr."
"Martin Quigley Jr."
"Marv Goldberg"
"Mary Anne Burges"
"Mary McCarthy"
"Matthew Fitt"
"Maurice Nicoll"
"Max Weinreich"
"Maximilian Voloshin"
"Maximilian Alexandrovich Kirienko-Voloshin"
"Mazisi Kunene"
"Melinda M. Snodgrass"
"Melissa Marr"
"Michael Curtis"
"Michael Gray"
"Michael Markowitz"
"Michael Noonan"
"Michael Waters"
"Mika Antić"
"Miroslav ""Mika"" Antić"
"Mikael Nalbandian"
"Mike Adams"
"Nagata Mikihiko"
"Miklos Laszlo"
"Miklós László"
"Millicent Armstrong"
"Millicent Selsam"
"Milo Keynes"
"Mir Mohsun Navvab"
"Mir Möhsün Nəvvab"
"Mitch Markowitz"
"Moïse Schwab"
"Muhamad Salih Dilan"
"Mário de Sá-Carneiro"
"Nazeer Akbarabadi"
"Nigel Heseltine"
"Noble Frankland"
"Anthony Noble Frankland"
"Norman Levine"
"Norman Podhoretz"
"Normand Poirier"
"Olena Teliha"
"Олена Теліга"
"Olive Schreiner"
"Om Prakash Valmiki"
"Ook Chung"
"Paco Ignacio Taibo I"
"Paco Ignacio Taibo"
"Pagal Adilabadi"
"Ahmed Shareef"
"Patricia Wrightson"
"Patrick Maher"
"Patrick Skene Catling"
"Pattie Mallette"
"Paul Birch"
"Paul Foster"
"Paul G. Tremblay"
"Paul Harris"
"Paul Morris"
"Paul Quarrington"
"Per Petterson"
"Peter Ackroyd"
"Peter Baker"
"Peter Giglio"
"Peter Matthiessen"
"Peter Morris"
"Peter N. Stearns"
"Peter Stearns"
"Philip Lee Williams"
"Philip Levine"
"Philippa Pearce"
"Phillip Margolin"
"Pixie O'Harris"
"Pixie O'Harris MBE"
"Qurratulain Hyder"
"Qustaki al-Himsi"
"Foster Winans"
"R. Foster Winans"
"Raffi"
"Rajiv Malhotra"
"Randal Keynes"
"Ranjit Desai"
"René Marqués"
"Renée French"
"Rian James"
"Richard Greene"
"Richard Jebb"
"Richard Jefferies"
"Richard Maher"
"Richard Nelson"
"Rie Yasumi"
"Rio Preisner"
"Robert E. Quirk"
"Robert Nicoll"
"Robert Roberts"
"Robert Thomas"
"Roderick Thorp"
"Rodolphe Hottinger"
"Baron Rodolphe Hottinger"
"Roger Lowenstein"
"Roja Chamankar"
"Roland Kibbee"
"Romain Rolland"
"Ron Goulart"
"Roni Margulies"
"Russell Gewirtz"
"Ruth Glick"
"Ruth Day Burtnick Glick"
"Sadayoshi Fukuda"
"Salcia Landmann"
"Salil Desai"
"Salim"
"Sam Moskowitz"
"Sanmao"
"Chen Mao Ping (陳懋平)"
"Sarah Bakewell"
"Sarah Piers"
"Sarita Shrestha"
"Scott Miller"
"Scott Oden"
"Scud The Disposable Assassin"
"Selçuk Altun"
"Seumas O'Kelly"
"Seumas O'Sullivan"
"Sheila Fitzpatrick"
"Sippy Pallippuram"
"Sophia McDougall"
"Spiro Dine"
"Srul Irving Glick"
"Stanley G. Weinbaum"
"Stanley Weintraub"
"Stephanie Pearl-McPhee"
"Steve Cannon"
"Steven Plaut"
"Stieg Larsson"
"Strawberry Saroyan"
"Stuart Trueman"
"Subin Bhattarai"
"Sue Thomas"
"Susan Beatrice Pearse"
"Susan Beatrice Pearce"
"Susan Nickson"
"T. J. Clark"
"Tadeusz Borowski"
"Tadeusz Dołęga-Mostowicz"
"Tadeusz Konwicki"
"Tadeusz Piotrowski"
"Tadeusz Różewicz"
"Tadeusz Swietochowski"
"Tamar Yellin"
"Tana Hoban"
"Tana Ramsay"
"Tarapada Roy"
"The Command"
"Theo Dorgan"
"Theodore Taylor"
"Thomas Campbell"
"Thomas Hill"
"Thomas McCarthy"
"Thomas Owen Clancy"
"Thomas Trautmann"
"Thomas Williams"
"Thomas van Aalten"
"Tim Moore"
"Tomás Rivera"
"Tsutomu Miura"
"Ulric Guttinguer"
"Victor Hernández Cruz"
"Walid Soliman"
"Walter Hasenclever"
"Walter Pater"
"Wendy Guerra"
"Wilfred Greatorex"
"Will James"
"William Blake Herron"
"William Carpenter"
"William Crowe"
"William D. Eggers"
"William ""Bill"" Eggers"
"William Duff"
"William Edward Hickson"
"William Elliott"
"William Jardine Smith"
"William Jurgens"
"William Matthews"
"William McPherson"
"Wim Gijsen"
"Wim van Norden"
"Wolfgang Borchert"
"Ya'qub Bilbul"
"Yevgeny Yevtushenko"
"Yury Kazakov"
"Zaki Naguib Mahmoud"
"زكي نجيب محمود"
"Åsa Larsson"
"David J. Schwartz"
"David Keck"
"Edward Carey"
"Janice Hally"
"Jason Buhrmester"
"Joe Clifford Faust"
"Lisa McMann"
"Mark Gimenez"
"Mark Henry"
"Mineke Schipper"
"Patricia Craddock"
"Philipp Meyer"
"Raja Mehdi Ali Khan"
"Roberta Leigh"
"Sara Zarr"
"Todd DePastino"
"Veronica Henry"
"Abigail Pogrebin"
"Adam Hamilton"
"Adrian Gilbert"
"Adrian Tchaikovsky"
"Adrian Czajkowski"
"Alexander Mazin"
"Aleksandr Mazin"
"Alice Chetwynd Ley"
"Allegra Huston"
"Amber Gurung"
"Andrew Grant"
"Andrew Ross Sorkin"
"André Vianco"
"Angie Abdou"
"Angus Konstam"
"Anita Daher"
"Antoine Bello"
"April Halprin Wayland"
"Ashwin Sanghi"
"Attilio Albergoni"
"Augusto Cury"
"Aureliano Lessa"
"Barbara Baraldi"
"Barbara Goldsmith"
"Barbara Wiedemann"
"Ben Parris"
"Benjamin Alire Sáenz"
"Benjamin Saltman"
"Betty Lambert"
"Bill Ransom"
"Breehn Burns"
"Brenda Webster"
"Brendan Lynch"
"Brendan McLeod"
"Brent Weeks"
"Brian Francis"
"Brian Freeman"
"Brian Keaney"
"Brian Lindstrom"
"Brian Ruckley"
"Brigitte Byrd"
"Bruce Branit"
"Bruce Heard"
"C. J. Henderson"
"C.J. Henderson"
"Cara Black"
"Carl Begai"
"Caro Ramsay"
"Catherine DeVrye"
"Catherine S. Snodgrass"
"Cathy Kelly"
"Chandrarathna Bandara"
"Charles Landry"
"Charlotte Agell"
"Christine Fugate"
"Cindy Rodriguez"
"Cindy Rodríguez"
"Claudia Gray"
"Craig Seymour"
"Dan Lungu"
"Dan Reynolds"
"Daniel Scott"
"Danielle Bennett"
"Darren Greer"
"David Baboulene"
"David Bollier"
"David Crouse"
"David Grann"
"David J. Williams"
"David L. Robbins"
"David Thorne"
"Dawn-Michelle Baude"
"Debbie Rodriguez"
"Deborah Rodriguez"
"Deborah Abela"
"Dennis O'Driscoll"
"Di Morrissey"
"Diane Samuels"
"Dmitry Vodennikov"
"Donald T. Phillips"
"Douglas Rushkoff"
"E. Ethelbert Miller"
"Echo Heron"
"Ed Diener"
"Elaine Radford"
"Eli Clare"
"Eliette Abécassis"
"Éliette Abecassis"
"Elizabeth J. Braswell"
"Elizabeth Koehler-Pentacoff"
"Emily Barr"
"Ethan Nicolle"
"Ezzat el Kamhawi"
"Felix Gilman"
"Food for the Gods"
"Frank Waters"
"Frédéric Martel"
"Gary Pomerantz"
"Gary M. Pomerantz"
"Gary Weeks"
"Gaël Aymon"
"Gerri Russell"
"Ginn Hale"
"Glen Downey"
"Grahame Davies"
"Grant Nieporte"
"Greg Patent"
"Greg Quill"
"Gustav Johannes Wied"
"Gustav Wied"
"Guy Trédaniel"
"Hajnal Ban"
"Hank Reinhardt"
"Julius Henry Reinhardt"
"Hayat Saif"
"Heidi W. Durrow"
"Heidi Wedel Durrow"
"Hilton Als"
"Imre Vallyon"
"Ingo Niermann"
"Ismail Khalidi"
"J. J. Benítez"
"Jacinto Rey"
"James Richardson-Brown"
"Jan Arnald"
"Janet Burroway"
"Jay Griffiths"
"Jean Marzollo"
"Jeannie Cho Lee"
"Jeff Rivera"
"Jeffrey Hyland"
"Jeffrey McClanahan"
"Jeffrey Scott Savage"
"Jeff Scott Savage"
"Jenni Hogan"
"Jennifer Militello"
"Jeramy Dodds"
"Joe Amato"
"Joe Borri"
"Joseph Adam Borri"
"Joel Selvin"
"John Ramsey Miller"
"John Shannon"
"Joseph Finder"
"Joseph Monninger"
"Joseph Lorraine Monninger"
"Josh Sundquist"
"Joshua Mohr"
"José do Patrocínio"
"Joyce Rupp"
"Junichi Watanabe"
"K. Tempest Bradford"
"Kaj Skagen"
"Karen Joy Greenberg"
"Karen Simpson Nikakis"
"Karla Kuskin"
"Kass Fleisher"
"Katie Arnoldi"
"Katy Munger"
"Kazuyo Katsuma"
"Kelly Corrigan"
"Kendra Norman-Bellamy"
"Kendra Norman (formerly writing as Kendra Norman-Bellamy)"
"Kenneth Lin"
"Kevin Callan"
"Kristen Iversen"
"Kristopher Reisz"
"Kumar Vishwas"
"Dr. Kumar Vishwas"
"Kyell Gold"
"L. Martin Griffin, Jr."
"Laurie Rozakis"
"Lesley Chamberlain"
"Lettie Teague"
"Linnea Sinclair"
"Lisa Papademetriou"
"Lisa Zwerling"
"Maggie Stiefvater"
"Manushyaputhiran"
"Manushya Puthiran"
"Mari Mancusi"
"Marie Phillips"
"Marina Palei"
"Mario Levi"
"Marjorie Liu"
"Mark Coggins"
"Mark Crilley"
"Mark Dubowitz"
"Mark S. Doss"
"Mark William Shaw"
"Mary Jane Auch"
"MJ Auch"
"Matthew Reilly"
"Maxim D. Shrayer"
"Shrayer, Maxim D."
"Meena Kandasamy"
"Mei Matsuoka"
"Michael B. Druxman"
"Michael Losier"
"Michael J. Losier"
"Michael Paul Mason"
"Michael Wolff"
"Michel Sidibé"
"Michelle Belanger"
"Miguel Ángel Villar Pinto"
"Miguel Angel Villar Pinto"
"Mike Jenkins"
"Mikhail Horowitz"
"Mohammed Benzakour"
"Namita Gokhale"
"Nan Witcomb"
"Nazan Bekiroğlu"
"Neil Cross"
"Nick Antosca"
"Nick Hanauer"
"Nikolai Garin-Mikhailovsky"
"Nikolai Georgievich Garin-Mikhailovsky"
"Nobuyuki Tsujii"
"Norman Ollestad"
"Norzailina Nordin"
"Norzailina Bt Md Nordin"
"Onyeka Nwelue"
"Ota Pavel"
"Parnell Hall"
"Patricia Grossman"
"Patrick Ness"
"Patrick Phillips"
"Paul Dowswell"
"Paul Greenberg"
"Paul Mendelson"
"Perry Deane Young"
"Pete Cashmore"
"Peter Solis Nery"
"Phil Belbin"
"Phil Henderson"
"Philip Womack"
"Phyllis Shalant"
"Pioneer Valley Chinese Immersion Charter School"
"Gary W. Moore"
"Polly Courtney"
"Rachael Treasure"
"Rachel Vincent"
"Ravi Belagere"
"Ray Griggs"
"Richard Bartholomew"
"Richard Blanco"
"Richard Rubin"
"Rick Shiomi"
"Robert A. Burton"
"Robert Hutchinson"
"Robert Quackenbush"
"Robert Solé"
"Robin Beth Schaer"
"Robin Goldstein"
"Rod Jellema"
"Roger Wolfson"
"Ron Roy"
"Ron Terpening"
"Ronald Kelly"
"S.D. Tooley"
"Lee Driver (author)"
"S. Ramakrishnan"
"எஸ். ராமகிருஷ்ணன்"
"Sam Bobrick"
"Sandra McDonald"
"Sandrone Dazieri"
"Sands Hall"
"Sanjiv Chopra"
"Sarah Britten"
"Sarah Ladipo Manyika"
"Sarah Rees Brennan"
"Sarah Weeks"
"Sean Michaels"
"Seanan McGuire"
"Seth Grahame-Smith"
"ShadowCon"
"Shaun Mehta"
"Sheri Radford"
"Shivram Dattatreya Phadnis"
"Simon Drake"
"Simon Lewis"
"SpoCon"
"Stanislav Stratiev"
"Stephen Rowe"
"Steven Long"
"Broke-ass Stuart"
"Stuart Wilde"
"Suzanne Francis"
"Syed Ali Ausat Zaidi"
"Karachi/Pakistan"
"Taalam Acey"
"Tanuja Desai Hidier"
"Tara Hunt"
"Tasmina Perry"
"Terry Fallis"
"The Rozabal Line"
"Thom Wolf"
"Thomas Hager"
"Tim Federle"
"Todd Parr"
"Toshiki Okada"
"Vicki Goldberg"
"Vicki Pettersson"
"Victor Gischler"
"Victoria Valentine"
"Vincent Louis Carrella"
"Vugar Aslanov"
"Vougar Aslanov"
"William Brighty Rands"
"William Landay"
"Yasus Afari"
"Yeojin Bae"
"Yolanda Blanco"
"Yoshihiro Yonezawa"
"Ysabeau S. Wilce"
"Ángel Faretta"
"İoanna Kuçuradi"
"Ioanna Kuçuradi"
"Anandaram Dhekial Phukan"
"Baldur Ragnarsson"
"Chris Jesty"
"David Lewis"
"Edward Hogan"
"Eli Holzman"
"Elin Brodin"
"George M. Fredrickson"
"Giuseppe Berto"
"Hasnain Kazim"
"Ian Brennan"
"Irina Saburova"
"James Kelman"
"Joe Dever"
"Juliusz Słowacki"
"Ken Castleman"
"Kevin Jackson"
"Louis Thomas"
"Margaret Craven"
"Marie Wexelsen"
"Mohammed Bennis"
"Pat Ingoldsby"
"Ragheb Moftah"
"Sharon Tregenza"
"St. John Emile Clavering Hankin"
"St John Hankin"
"Stephen Kelman"
"Tor Torkildsen"
"Vittorio Feltri"
"Wera Sæther"
"William Master"
"Wolfgang Wilhelm"
"Zohra Begum Kazi"
"Ángel Cappelletti"
"Angel Cappelletti"
"Adam Anderson"
"Adam Hamdy"
"Adolph Murie"
"Ahmad Ali El Zein"
")"
"Ahmed Aref El-Zein"
"Sheikh Ahmed Aref El-Zein ("
"Alan Baxter"
"Alan Bradley"
"Alba Bouwer"
"Alexander Drummond"
"Alexander Robertson MacEwen"
"Alfred E. Senn"
"Alfred Percy Sinnett"
"Alhaji Alieu Ebrima Cham Joof"
"Alice Dayrell Caldeira Brant"
"Alka Saraogi"
"Amanda Brunker"
"Amanda Marcotte"
"Amy Reiley"
"Andrew Bennison"
"Andrew Carroll"
"Andrew Picken"
"Ann Dally"
"Anne Weale"
"Jay Blakeney"
"Anthony McCarten"
"Anthony Price"
"Antonio Alatorre"
"Arne Jostein Ingebrethsen"
"Arthur Arntzen"
"Arthur Mills"
"Audun Munthe-Kaas Hierman"
"Avetik Isahakyan"
"Ավետիք Իսահակյան"
"Ayodhya Prasad Upadhyay"
"Azadeh Moaveni"
"Barbara Delaplace"
"Barbara Jefferis"
"Barbara Stephens"
"Barry Perowne"
"Bernard McConville"
"Betty Fussell"
"Betty Harper Fussell, Ph.D."
"Bhaskar Ramchandra Tambe"
"Blakey Vermeule"
"Bobby Farrelly"
"Bolesław Prus"
"(Aleksander Głowacki )"
"Bradford Perkins"
"Braj Kachru"
"Brian Leung"
"Brian Matthews"
"Bruce Stewart"
"Bryan Burrough"
"Bud Sparhawk"
"Buddhadeb Bosu"
"Buddhadeb Bose"
"Buddhadeb Guha"
"বুদ্ধদেব গুহ"
"Candia McWilliam"
"Carlo Grande"
"Carolyn Sherwin Bailey"
"Carson McCullers"
"Chandramauli Upadhyay"
"Charles Howe"
"Charles Magnin"
"Charles Schnee"
"Charles Wolfe"
"Chris Kelly"
"Christopher Bailey"
"Christopher Barzak"
"Christopher Fowler"
"Christopher Gravett"
"Colin McWilliam"
"Craig Miller"
"Armand Iacobsohn"
"D. Iacobescu"
"D. (Dumitru) Iacobescu"
